Corri el:
mar nov 10 00:18:35 -05 2020
begin of the script
['1A43', '1A5E', '1AEP', '1AG2', '1AKY', '1B8E', '1BLC', '1BOY', '1CAH', '1CSE', '1G4I', '1HK0', '1IET', '1IMQ', '1LVE', '1MSI', '1ONC', '1P2P', '1PDO', '1QND', '1SSO']
analyzing 1A43
analzying WA184A
size of 1A43 = 2411
Graph (s) |  Centrality(s)
  7.8002  |  6.5802 
  7.9045  |  6.7493 
analzying TA141A
size of 1AEP = 3937
Graph (s) |  Centrality(s)
  8.0655  |  0.9795 
  7.9293  |  0.9819 
  7.9614  |  1.0361 
  7.9034  |  0.9866 
  7.9060  |  1.0083 
  7.8812  |  1.0463 
  7.8592  |  1.0254 
  8.0828  |  0.9937 
  8.0707  |  0.9722 
  7.8754  |  1.0392 
  7.9314  |  0.9433 
  7.9268  |  0.9517 
  7.8185  |  1.0075 
  7.8198  |  0.9882 
  8.2311  |  0.9653 
  8.1440  |  0.9986 
  7.8104  |  0.9957 
  7.9128  |  0.9965 
  7.8848  |  0.9746 
  7.8842  |  1.0045 
analzying TA28A
size of 1AEP = 3937
Graph (s) |  Centrality(s)
  7.8637  |  0.6746 
  7.8723  |  0.6757 
  8.1058  |  0.6209 
  8.0927  |  0.6583 
  7.8811  |  0.6437 
  7.8609  |  0.6558 
  8.0355  |  0.6539 
  7.8915  |  0.6582 
  7.8307  |  0.5800 
  7.9615  |  0.6395 
  7.9238  |  0.6072 
  7.8132  |  0.6168 
  7.9122  |  0.6259 
  7.8304  |  0.6567 
  7.8298  |  0.6069 
  7.9070  |  0.5628 
  7.8398  |  0.5477 
  8.0763  |  0.5902 
  7.8788  |  0.6159 
  7.8268  |  0.5388 
analzying LA14K
size of 1AEP = 4009
Graph (s) |  Centrality(s)
  8.0820  |  3.1858 
  8.1336  |  3.1314 
  8.3010  |  3.1224 
  8.1681  |  3.1770 
  8.5147  |  3.2161 
  8.3549  |  3.0364 
  8.1452  |  3.1189 
  8.0994  |  3.0601 
  8.1281  |  3.0991 
  8.0705  |  3.0954 
  8.5275  |  3.1790 
  8.3018  |  3.2091 
  8.1589  |  3.0681 
  8.1131  |  3.0986 
  8.1735  |  3.2159 
  8.0424  |  2.9829 
  8.2269  |  3.0601 
  8.2601  |  2.9899 
  8.1561  |  3.0778 
  8.1045  |  3.1113 
analzying AA137K
size of 1AEP = 3930
Graph (s) |  Centrality(s)
  7.9085  |  2.4854 
  7.8483  |  2.5170 
  7.9354  |  2.4553 
  8.2020  |  2.5368 
  8.0573  |  2.5684 
  7.9071  |  2.5599 
  7.8514  |  2.4729 
  7.8258  |  2.4794 
  7.9193  |  2.5530 
  8.0773  |  2.4788 
  8.1158  |  2.7160 
  7.8457  |  2.6397 
  7.9627  |  2.5862 
  7.9307  |  2.4872 
  8.0377  |  2.5356 
  7.9255  |  2.4637 
  8.0484  |  2.5369 
  7.9771  |  2.4536 
  7.8322  |  2.4519 
  7.9314  |  2.4657 
analyzing 1AG2
analzying TA183A
size of 1AG2 = 3086
Graph (s) |  Centrality(s)
  4.9208  |  0.5669 
  4.8497  |  0.5700 
  4.9054  |  0.5442 
  4.9180  |  0.5472 
  4.8729  |  0.5715 
  4.9158  |  0.5771 
  5.0471  |  0.5562 
  4.9434  |  0.5699 
  4.9561  |  0.5708 
  4.9125  |  0.5788 
  5.0070  |  0.5945 
  4.8938  |  0.5852 
  4.9087  |  0.5817 
  4.9517  |  0.6140 
  4.9076  |  0.6425 
  4.9033  |  0.6248 
  4.9076  |  0.6063 
  4.8709  |  0.6553 
  4.8591  |  0.6462 
  5.0433  |  0.6532 
analzying FA198S
size of 1AG2 = 3075
Graph (s) |  Centrality(s)
  4.9095  |  1.1082 
  4.8855  |  1.1210 
  4.8578  |  1.1217 
  4.8707  |  1.0594 
  4.8382  |  1.0685 
  4.8078  |  1.1050 
  4.8187  |  1.1022 
  4.8537  |  1.0746 
  4.8502  |  1.0741 
  4.8919  |  1.1136 
  4.8265  |  1.0842 
  4.9749  |  1.1237 
  4.9761  |  1.1698 
  5.0985  |  1.1519 
  4.8381  |  1.1055 
  4.8470  |  1.0860 
  4.8631  |  1.0495 
  4.8405  |  1.1042 
  4.8405  |  1.1363 
  4.8440  |  1.0942 
analyzing WT of 1AG2
size of 1AG2 = 3085
Graph (s) | Centrality (all mutants 10)(s)
  4.9298  |  16.4522 
  4.9353  |  16.1496 
  4.8993  |  15.9207 
  4.8836  |  16.5523 
  4.9300  |  16.1830 
  4.9318  |  15.9961 
  4.8747  |  15.9256 
  4.8912  |  15.5785 
  4.9135  |  15.5419 
  5.0029  |  15.3476 
  4.9035  |  15.2022 
  4.9796  |  15.8343 
  4.9189  |  15.6600 
  4.9423  |  15.4527 
  4.8912  |  15.5076 
  4.9345  |  15.5916 
  4.9916  |  15.6626 
  4.9721  |  15.8530 
  5.1000  |  15.4583 
  5.1459  |  15.2629 
analzying QA217R
size of 1AG2 = 3088
Graph (s) |  Centrality(s)
  5.2115  |  1.7362 
  5.1112  |  1.7555 
  5.1560  |  1.7811 
  5.1932  |  1.7619 
  5.1618  |  1.7991 
  5.1328  |  1.8018 
  5.1459  |  1.8372 
  5.1492  |  1.7994 
  5.1265  |  1.8218 
  5.1917  |  1.8130 
  5.1783  |  1.7217 
  5.1616  |  1.7516 
  5.1236  |  1.7309 
  5.1659  |  1.6701 
  5.1212  |  1.5528 
  5.1251  |  1.6311 
  5.1673  |  1.6991 
  5.1314  |  1.7323 
  5.1198  |  1.7029 
  5.2329  |  1.7837 
analzying VA210I
size of 1AG2 = 3083
Graph (s) |  Centrality(s)
  5.2084  |  1.3569 
  5.2891  |  1.3940 
  5.1697  |  1.3483 
  5.1353  |  1.3297 
  5.1432  |  1.3430 
  5.1343  |  1.3060 
  5.1088  |  1.3852 
  5.1777  |  1.4407 
  5.0970  |  1.4586 
  5.1108  |  1.4642 
  5.1762  |  1.4807 
  5.1678  |  1.4523 
  5.1083  |  1.4834 
  5.1023  |  1.4364 
  5.1301  |  1.4873 
  4.9590  |  1.4857 
  4.9168  |  1.3806 
  4.8849  |  1.3971 
  4.9128  |  1.3402 
  5.0631  |  1.3397 
analzying RA208H
size of 1AG2 = 3088
Graph (s) |  Centrality(s)
  4.9367  |  2.2286 
  4.9772  |  2.2523 
  4.9474  |  2.2651 
  4.9920  |  2.2576 
  5.0165  |  2.2507 
  4.9098  |  2.1346 
  5.0870  |  2.2046 
  4.9207  |  2.1907 
  4.9183  |  2.1298 
  4.9977  |  2.2570 
  4.9921  |  2.1097 
  4.9597  |  2.2163 
  4.9723  |  2.3074 
  4.9434  |  2.1031 
  5.0655  |  2.1428 
  4.9871  |  2.1886 
  4.9104  |  2.2865 
  4.9895  |  2.2517 
  4.9544  |  2.1709 
  5.0117  |  2.2302 
analzying MA129V
size of 1AG2 = 3086
Graph (s) |  Centrality(s)
  5.0842  |  1.1901 
  4.9063  |  1.2231 
  4.8733  |  1.2008 
  4.8805  |  1.2313 
  4.9767  |  1.0582 
  5.0017  |  1.0225 
  4.9728  |  1.2110 
  4.9644  |  1.2241 
  4.9522  |  1.2848 
  4.9165  |  1.3106 
  4.9425  |  1.1942 
  4.9617  |  1.2588 
  4.8918  |  1.2746 
  4.9381  |  1.2849 
  4.9034  |  1.2921 
  4.8785  |  1.2787 
  4.8621  |  1.2322 
  4.9926  |  1.2835 
  4.9292  |  1.2386 
  4.9095  |  1.2692 
analzying FA175W
size of 1AG2 = 3084
Graph (s) |  Centrality(s)
  4.9302  |  4.0458 
  5.0126  |  4.0186 
  5.0063  |  3.9819 
  5.0707  |  4.0031 
  4.9330  |  4.0776 
  4.9058  |  4.0729 
  4.8654  |  4.0611 
  4.9371  |  4.0747 
  4.9209  |  3.9618 
  4.9289  |  3.9909 
  4.9337  |  4.0211 
  4.9685  |  3.9303 
  4.9537  |  4.0294 
  4.8725  |  3.8829 
  4.9242  |  3.9366 
  4.9623  |  3.8247 
  4.9155  |  3.9923 
  4.9163  |  3.9999 
  4.9087  |  3.9070 
  4.9355  |  3.7858 
analzying EA200K
size of 1AG2 = 3091
Graph (s) |  Centrality(s)
  5.0420  |  1.9807 
  4.9505  |  1.8560 
  4.9752  |  1.8170 
  4.9217  |  1.7445 
  4.9865  |  1.8284 
  4.9476  |  1.7417 
  4.9581  |  1.8917 
  4.9114  |  1.8805 
  5.0512  |  1.9405 
  5.0838  |  2.0301 
  5.0147  |  1.8787 
  4.9556  |  1.9091 
  5.0777  |  1.8971 
  4.9056  |  1.8545 
  4.9718  |  1.8223 
  5.0161  |  1.9915 
  4.9394  |  1.7708 
  4.9206  |  1.8933 
  4.9380  |  1.8162 
  5.0282  |  1.8808 
analzying TA190V
size of 1AG2 = 3089
Graph (s) |  Centrality(s)
  5.0539  |  0.8289 
  5.0080  |  0.7588 
  4.9175  |  0.7685 
  4.9663  |  0.7708 
  4.9514  |  0.7898 
  4.9754  |  0.7818 
  4.9918  |  0.7887 
  4.9594  |  0.7838 
  4.9429  |  0.7789 
  5.0429  |  0.8422 
  4.9925  |  0.7767 
  4.9883  |  0.7884 
  5.1309  |  0.7747 
  5.0790  |  0.7267 
  4.9464  |  0.7622 
  4.8971  |  0.7182 
  4.9785  |  0.7296 
  4.9931  |  0.7330 
  4.9469  |  0.7267 
  4.9357  |  0.7595 
analzying VA180I
size of 1AG2 = 3046
Graph (s) |  Centrality(s)
  4.8240  |  1.4373 
  4.8376  |  1.4399 
  4.7937  |  1.4145 
  4.9676  |  1.4478 
  4.9239  |  1.4273 
  4.9190  |  1.4094 
  4.8263  |  1.3911 
  4.8721  |  1.4380 
  4.8523  |  1.4030 
  4.8535  |  1.4299 
  4.8411  |  1.4075 
  4.8817  |  1.4051 
  4.9322  |  1.5103 
  4.8571  |  1.4224 
  4.9242  |  1.4219 
  4.9623  |  1.4736 
  4.9181  |  1.4872 
  4.8330  |  1.4612 
  4.8625  |  1.4622 
  4.8167  |  1.4531 
analyzing 1AKY
analzying TA77H
size of 1AKY = 3957
Graph (s) |  Centrality(s)
  9.5039  |  2.2183 
  9.5731  |  2.1945 
  9.7405  |  2.1325 
  10.2225  |  2.2236 
  9.6546  |  2.2225 
  9.6914  |  2.2146 
  9.5813  |  2.2671 
  9.6808  |  2.2991 
  9.7109  |  2.3612 
  10.2200  |  2.3202 
  9.6943  |  2.1056 
  9.7334  |  2.2712 
  9.8157  |  2.1495 
  9.5732  |  2.1644 
  9.8574  |  2.1985 
  10.2959  |  2.1187 
  9.8209  |  2.1812 
  9.8520  |  2.0639 
  9.7399  |  2.0893 
  9.5728  |  2.1195 
analzying IA213F
size of 1AKY = 3964
Graph (s) |  Centrality(s)
  9.7434  |  2.6175 
  10.1300  |  2.6114 
  9.5443  |  2.6070 
  9.6467  |  2.8888 
  9.5670  |  2.6544 
  9.6774  |  2.7004 
  9.8881  |  2.7879 
  9.7888  |  2.9282 
  9.5152  |  2.9919 
  9.6409  |  2.8316 
  9.6443  |  2.9379 
  9.5350  |  2.8729 
  9.9400  |  2.9748 
  9.6840  |  2.9966 
  9.7418  |  3.1122 
  9.6820  |  2.8792 
  9.7760  |  3.1192 
  9.7085  |  3.0591 
  9.8952  |  2.8741 
  9.7096  |  2.8190 
analyzing WT of 1AKY
size of 1AKY = 3960
Graph (s) | Centrality (all mutants 6)(s)
  9.6426  |  7.2578 
  9.6867  |  7.1620 
  9.6660  |  7.3292 
  9.7808  |  7.3832 
  9.8132  |  7.3779 
  9.6976  |  7.3548 
  9.6063  |  7.2789 
  9.9392  |  7.4014 
  9.7101  |  7.4193 
  9.7418  |  7.4966 
  9.5662  |  7.2649 
  9.6956  |  7.3442 
  9.7388  |  7.0624 
  9.6440  |  7.1894 
  9.5723  |  7.2983 
  9.6918  |  7.2307 
  10.0098  |  7.4144 
  9.6543  |  7.5424 
  9.6551  |  7.5805 
  9.6550  |  7.2426 
analzying NA169D
size of 1AKY = 3961
Graph (s) |  Centrality(s)
  9.7080  |  1.3029 
  10.0470  |  1.2589 
  9.8800  |  1.2538 
  9.7727  |  1.2604 
  9.6889  |  1.2794 
  9.5643  |  1.2333 
  9.6916  |  1.3294 
  9.9638  |  1.3242 
  9.7478  |  1.1364 
  9.5666  |  1.3091 
  9.6628  |  1.2138 
  9.6979  |  1.1602 
  9.5841  |  1.2293 
  9.6969  |  1.1415 
  9.8623  |  1.1792 
  9.7241  |  1.2715 
  9.6296  |  1.2658 
  9.7198  |  1.1720 
  9.7402  |  1.1652 
  9.5830  |  1.2715 
analzying QA48E
size of 1AKY = 3941
Graph (s) |  Centrality(s)
  9.9586  |  1.0455 
  9.5410  |  1.1893 
  9.5869  |  1.1763 
  9.5710  |  1.2091 
  9.6371  |  1.1393 
  9.5733  |  1.2010 
  9.9423  |  1.0919 
  9.7296  |  1.1585 
  9.6446  |  1.1530 
  9.6403  |  1.1884 
  9.6538  |  1.1714 
  9.6897  |  1.2406 
  9.5907  |  1.1739 
  9.7850  |  1.1260 
  9.6327  |  1.2217 
  9.6600  |  1.2316 
  9.6060  |  1.1768 
  9.5993  |  1.1438 
  9.6136  |  1.0945 
  10.0586  |  1.1283 
analzying VA8I
size of 1AKY = 3959
Graph (s) |  Centrality(s)
  9.8207  |  1.8499 
  9.7660  |  1.8607 
  9.6465  |  1.8374 
  9.6700  |  1.7655 
  9.7493  |  1.7897 
  10.2376  |  1.8270 
  9.7413  |  1.7987 
  9.7072  |  1.7084 
  9.6634  |  1.7443 
  9.6817  |  1.7755 
  9.5972  |  1.7780 
  10.2545  |  1.7475 
  9.8452  |  1.8957 
  9.5693  |  1.8410 
  9.6276  |  1.7911 
  9.8411  |  1.9115 
  9.6890  |  1.8240 
  10.0791  |  1.8438 
  9.7526  |  1.8723 
  9.6445  |  1.8844 
analzying TA110H
size of 1AKY = 3944
Graph (s) |  Centrality(s)
  9.6426  |  1.8516 
  9.7066  |  1.8131 
  9.6824  |  1.8272 
  9.8853  |  1.7713 
  9.6503  |  1.9749 
  9.5448  |  2.0440 
  9.6231  |  1.8842 
  9.6542  |  1.6954 
  9.6179  |  1.8216 
  9.8511  |  1.8366 
  9.6395  |  1.8892 
  9.6092  |  1.8760 
  9.5358  |  1.8682 
  9.6968  |  1.8315 
  9.6007  |  1.9299 
  9.9894  |  1.8618 
  9.5784  |  1.7179 
  9.6702  |  1.7279 
  9.6105  |  1.9125 
  9.7224  |  1.7493 
analyzing 1B8E
analyzing WT of 1B8E
size of 1B8E = 3989
Graph (s) | Centrality (all mutants 1)(s)
  8.3451  |  4.5066 
  8.5646  |  4.7645 
  8.2332  |  4.6029 
  8.3361  |  4.6485 
  8.2909  |  4.4912 
  8.2743  |  4.5797 
  8.7521  |  4.7476 
  8.3794  |  4.7599 
  8.2843  |  4.7603 
  8.2021  |  4.7499 
  8.1884  |  4.7839 
  8.4664  |  4.7979 
  8.3269  |  4.7493 
  8.2484  |  4.7798 
  8.2380  |  4.8003 
  8.3502  |  4.7132 
  8.2910  |  4.8047 
  8.3635  |  4.7243 
  8.2244  |  4.6976 
  8.3661  |  4.7141 
analzying WA19Y
size of 1B8E = 3988
Graph (s) |  Centrality(s)
  8.3152  |  3.8631 
  8.2705  |  3.7499 
  8.5915  |  3.7712 
  8.2331  |  3.8516 
  8.2436  |  3.7692 
  8.3545  |  3.7653 
  8.2683  |  3.6690 
  8.2684  |  3.6967 
  8.6918  |  3.8145 
  8.2999  |  3.8329 
  8.1609  |  3.7054 
  8.2294  |  3.8065 
  8.2419  |  3.8185 
  8.3118  |  3.6629 
  8.5514  |  3.7502 
  8.1946  |  3.7970 
  8.2849  |  3.7662 
  8.2238  |  3.7026 
  8.3153  |  3.7868 
  8.1997  |  3.7362 
analyzing 1BLC
analzying DA179N
size of 1BLC = 4855
Graph (s) |  Centrality(s)
  15.4244  |  2.8964 
  14.8472  |  2.9256 
  14.8440  |  3.2044 
  14.7875  |  3.0754 
  15.3972  |  3.1461 
  15.0263  |  2.8926 
  14.8590  |  2.8881 
  14.8288  |  2.9256 
  14.8979  |  3.0738 
  14.8846  |  2.7749 
  14.9146  |  3.0535 
  14.7843  |  3.0166 
  15.1019  |  2.8799 
  15.1252  |  2.6628 
  14.7642  |  2.6858 
  14.8116  |  2.9556 
  15.2571  |  3.0388 
  14.9169  |  2.8157 
  14.8486  |  2.7446 
  14.8254  |  2.5792 
analyzing WT of 1BLC
size of 1BLC = 4820
Graph (s) | Centrality (all mutants 1)(s)
  15.3943  |  3.0663 
  14.7230  |  3.1618 
  14.5331  |  2.9184 
  14.8325  |  2.9430 
  15.5009  |  3.1828 
  14.5987  |  3.0425 
  14.6430  |  2.8552 
  14.6874  |  3.1608 
  15.3660  |  3.0343 
  14.6825  |  3.0868 
  14.6318  |  3.0925 
  14.5740  |  3.2174 
  15.2793  |  3.1733 
  14.7368  |  3.1837 
  14.6320  |  3.4195 
  14.6794  |  3.2577 
  14.9217  |  3.0580 
  14.9011  |  3.1800 
  14.6422  |  3.2171 
  14.6576  |  3.1179 
analyzing 1BOY
analzying RA200W
size of 1BOY = 6478
Graph (s) |  Centrality(s)
  20.7363  |  5.2457 
  20.4810  |  4.7179 
  20.8517  |  5.0171 
  20.2199  |  4.8013 
  20.3987  |  5.2857 
  23.4453  |  5.1414 
  20.4006  |  5.1687 
  20.4800  |  5.1745 
  20.2280  |  4.9314 
  20.4605  |  4.8099 
  20.4588  |  4.9317 
  20.3380  |  4.7379 
  20.2606  |  5.0096 
  20.7973  |  5.0522 
  20.1818  |  5.0750 
  20.2721  |  5.0535 
  20.4548  |  5.1308 
  20.2661  |  4.9828 
  20.5405  |  4.9999 
  21.2558  |  5.2070 
analyzing WT of 1BOY
size of 1BOY = 6484
Graph (s) | Centrality (all mutants 1)(s)
  20.3871  |  3.4197 
  20.4723  |  3.4164 
  21.4568  |  3.3480 
  20.4754  |  3.4794 
  20.4323  |  3.3666 
  21.3614  |  3.3859 
  20.4998  |  3.4962 
  20.4402  |  3.2483 
  21.2862  |  3.6338 
  20.3949  |  3.5715 
  20.4808  |  3.4439 
  21.5239  |  3.6337 
  20.3664  |  3.4328 
  20.5851  |  3.4766 
  21.4073  |  3.4825 
  20.6686  |  3.4391 
  20.7585  |  3.4775 
  20.5879  |  3.5514 
  20.8030  |  3.2750 
  20.4874  |  3.4710 
analyzing 1CAH
analzying CA206S
size of 1CAH = 5052
Graph (s) |  Centrality(s)
  15.8604  |  2.4701 
  16.7247  |  2.5603 
  16.0999  |  2.4524 
  15.7594  |  2.5770 
  15.7971  |  2.6479 
  15.9620  |  2.5058 
  16.0189  |  2.3822 
  15.9966  |  2.4432 
  15.8136  |  2.5359 
  15.8169  |  2.5931 
  16.4037  |  2.5082 
  16.2232  |  2.4821 
  15.8868  |  2.5619 
  15.8913  |  2.6272 
  16.2168  |  2.5891 
  15.9719  |  2.4776 
  15.8139  |  2.6252 
  15.9074  |  2.5047 
  16.5019  |  2.5526 
  16.1340  |  2.4043 
analzying WA5F
size of 1CAH = 5046
Graph (s) |  Centrality(s)
  15.8009  |  7.6984 
  15.8327  |  7.7514 
  16.6001  |  7.7833 
  15.9475  |  7.6388 
  15.8467  |  7.9901 
  15.8778  |  7.9131 
  16.0924  |  7.7333 
  15.9719  |  7.9166 
  15.6989  |  8.0074 
  16.5955  |  7.9577 
  15.7330  |  7.8408 
  15.6872  |  7.7251 
  15.9653  |  7.8556 
  16.2182  |  7.6094 
  15.7034  |  7.9478 
  15.7399  |  7.5696 
  15.9488  |  7.9776 
  15.8107  |  7.6306 
  15.9484  |  7.8597 
  16.3442  |  7.8365 
analyzing WT of 1CAH
size of 1CAH = 5054
Graph (s) | Centrality (all mutants 2)(s)
  16.0875  |  10.8478 
  15.8006  |  11.0178 
  16.7768  |  10.8448 
  15.8062  |  11.1005 
  15.8703  |  10.2199 
  16.1647  |  10.2071 
  15.8444  |  10.5107 
  15.9717  |  10.8544 
  42.8791  |  10.8551 
  17.1929  |  10.8867 
  16.1127  |  10.7378 
  15.8664  |  10.4385 
  16.1839  |  10.0113 
  15.7542  |  10.0893 
  15.8741  |  10.0443 
  16.2831  |  10.3939 
  15.9578  |  10.5405 
  15.9291  |  10.2717 
  16.1672  |  10.3413 
  15.7850  |  10.3519 
